date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:19	12912/12912	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2013:56:17%20GMT	http://localhost/projetosdarosi/public/home	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/home.html	(from )
10:56:19	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jun%202025%2013:56:18%20GMT	http://localhost/robots.txt		(from )
10:56:19	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/laragon/www/projetosdarosi/projetosdarosi/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://localhost/projetosdarosi/public/home)
10:56:19	231647/231647	---M--	200	added ('OK')	text/css	etag:%22388df-637af0abd4a05%22	http://localhost/projetosdarosi/public/build/assets/app-d0656ed2.css	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/build/assets/app-d0656ed2.css	(from http://localhost/projetosdarosi/public/home)
10:56:20	47192/47192	---M--	200	added ('OK')	image/svg+xml	etag:%22b858-6301626ab090b%22	http://localhost/projetosdarosi/public/images/logo.svg	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/images/logo.svg	(from http://localhost/projetosdarosi/public/home)
10:56:23	19308/19308	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2013:56:20%20GMT	http://localhost/projetosdarosi/public/sobre	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/sobre.html	(from http://localhost/projetosdarosi/public/home)
10:56:23	4738/4738	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2013:56:22%20GMT	http://localhost/projetosdarosi/public/projetos	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/projetos.html	(from http://localhost/projetosdarosi/public/home)
10:56:27	35145/35145	---M--	200	added ('OK')	text/javascript	etag:%228949-637af0abd461e%22	http://localhost/projetosdarosi/public/build/assets/app-3a15c5ec.js	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/build/assets/app-3a15c5ec.js	(from http://localhost/projetosdarosi/public/home)
10:56:31	55915/55915	---M--	200	added ('OK')	image/png	etag:%22da6b-637ae52b2f0d5%22	http://localhost/projetosdarosi/public/storage/projetos/06GGy7JrghzfFE6MqOJvehq5UL04rnSpRxBw85NI.png	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/storage/projetos/06GGy7JrghzfFE6MqOJvehq5UL04rnSpRxBw85NI.png	(from http://localhost/projetosdarosi/public/home)
10:56:36	117616/117616	---M--	200	added ('OK')	image/png	etag:%221cb70-637ae896c687b%22	http://localhost/projetosdarosi/public/storage/projetos/wuii0KaKtirDlhkkQH5XF62or8dGwNbBQBCzWxhU.png	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/storage/projetos/wuii0KaKtirDlhkkQH5XF62or8dGwNbBQBCzWxhU.png	(from http://localhost/projetosdarosi/public/home)
10:56:44	306844/306844	---M--	200	added ('OK')	image/png	etag:%224ae9c-63029d83a0d99%22	http://localhost/projetosdarosi/public/images/rosiane.png	C:/laragon/www/projetosdarosi/projetosdarosi/localhost/projetosdarosi/public/images/rosiane.png	(from http://localhost/projetosdarosi/public/home)
